news,label,value
the cleveland police has issued a stand down order to officers,pants-fire,0
president obama funneled $716 billion out of medicare at the expense of the elderly,barely-true,0
mr hurt would reopen that darn medicare doughnut hole,half-true,1
for 22 percent of nh meals on wheels recipients the delivery driver is the only human contact in their life from week to week,true,1
says his comment about extremists being a jv team wasnt specifically referring to islamic state,false,0
in 2013 dan patrick voted against funding to test the backlog of rape kits allowing rapists to walk free,pants-fire,0
most immigrants do show up in court,mostly-true,1
80 of the people want the option of vote by mail,half-true,1
republicans looking to cut social security as much as 50 percent immediately,false,0
if you are licensed to carry a concealed weapon wearing a face covering for coronavirus removes your conceal carry ability,false,0
says chris christie vetoed equal pay for women 3 times he only let the bill pass once it became a damaging campaign issue,barely-true,0
says when bernie sanders was in college sanders said something very similar to what conservative wisconsin supreme court justice rebecca bradley had written as a college student in the 1990s  that women have a legitimate role in date rape,half-true,1
according to the centers for disease control and prevention cdc about 120 americans on average die from a drug overdose every day overall drug overdose deaths now outnumber deaths from firearms,true,1
attorney general roy cooper refuses to do his job by not defending house bill 2 in a lawsuit,half-true,1
congressional candidate chris jacobs voted against paid leave for covid19,mostly-true,1
rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,pants-fire,0
says a recent analysis showed that 91 percent of deferred action for childhood arrivals daca recipients are employed in school or serving in the military,mostly-true,1
in flint mich the pipes still havent been replaced the water is still poisoned,half-true,1
getting access to a gun in america is easier than adopting a dog or registering to vote,mostly-true,1
if you go to every hospital in this country and you ask them one question which is how would it have been for you last year if every one of your bills were paid at the medicare rate every single hospital administrator said they would close,false,0
the national science foundation awarded $700000 to fund a climate change musical,true,1
when i took office in 2003 we had very little reserves,barely-true,0
you cant get on an airplane but more than 2000 people on that list have been able to buy a gun,barely-true,0
so now they take drugs literally and they throw it a hundred pounds of drugs they throw it over the wall they have catapults but they throw it over the wall and it lands and it hits somebody on the head,mostly-true,1
schumer and pelosi sneak funding into covid bill,false,0
fbi confirms evidence of huge underground clinton sex network,pants-fire,0
says she is saving ratepayers $6 millionyear,false,0
obamacare could force thousands of volunteer fire stations to cut service or close entirely,half-true,1
says rep joe barton rtexas once said wind is a finite resource and harnessing it would slow the winds down which would cause the temperature to go up,barely-true,0
says scott brown voted to give oil companies big tax breaks,mostly-true,1
antifa is to blame for storming the us capitol,pants-fire,0
you dont have to be as smart as a fifthgrader to know what causes the climate is the sun the sun i have people tell me carbon dioxide warms the earth no it doesnt the sun warms the earth,barely-true,0
says a mall santa beat up a child molester,pants-fire,0
says sinclair lewis said when fascism comes to america it will be wrapped in the flag and carrying a cross,false,0
charles francis vows to slash funding for parks and open space,barely-true,0
update van full of illegals caught voting at multiple alabama polling locations,pants-fire,0
wisconsin is dead last in the midwest for job creation,mostly-true,1
us rep matt gaetz was the lone vote in the house against an antihuman trafficking bill,true,1
the internal revenue service spent $60000 on a star trek training video,half-true,1
says scott brown voted to reward companies to ship jobs overseas,half-true,1
with his decision on whether to fire gen stanley mcchrystal president obama has to fix yet another problem he inherited from the bush administration,pants-fire,0
texas lawmakers left children able to be sterilized and mutilated at any point in their life by failing to adopt a law prohibiting minors from undergoing medical or surgical gender transitions,barely-true,0
the proposed state budget contains an additional tax cut for the middle class,barely-true,0
increasing the min wage to $15 an hour would reduce spending on food stamps public housing and other programs by over $76 billion a year,barely-true,0
says rob portman said the auto rescue was a lousy deal for ohio,mostly-true,1
says a photo of a tortured man is us diplomat chris stevens who was killed in the 2012 benghazi attack,pants-fire,0
says a photo depicts a teacher and student with guns guarding a delaware high school in 1973 after a shooting threat,barely-true,0
says more republicans than democrats voted for the wall street bailouts,false,0
says opponent kathie tovo believes that austin invests too much in the cops firefighters and paramedics that protect our families and neighborhoods,mostly-true,1
says she is saving ratepayers $6 millionyear,false,0
covid19 cases are up only because of our big number testing,false,0
potential foxconn changes are due to the wave of economic uncertainty from evers administration,pants-fire,0
we are imprisoning or giving jail sentences to young people who are smoking marijuana,barely-true,0
george soros provides migrants with prepaid debit cards to fund illegal journeys,false,0
says sen robert cowles her recall opponent supported the sale of stateowned power plants not to the highest bidder but to the biggest donors with no oversight,pants-fire,0
the number of pregnant women who have miscarried increased by 366 in just six weeks as a result of their receiving a covid19 vaccine,false,0
saysminnesota is imprisoning half as many people as wisconsin and yet our states have virtually identical crime rates,mostly-true,1
the shutdown of the keystone pipeline project will mean nearly 2000 union jobs lost with wisconsin companies,mostly-true,1
when the presidents spokesman was asked about anwar alawlakis son â¦ he said he should have chosen a more responsible father,half-true,1
invested $90 million in traffic fixes without raising taxes,half-true,1
update chuck schumers steamy affair with a high school cheerleader confirmed,pants-fire,0
president obama is actually increasing bushera defense spending by $21 billion in the new fiscal year,mostly-true,1
girl scouts usas curriculum promotes margaret sanger founder of planned parenthood betty friedan founder of naral prochoice and other proabortion women as icons for our children to emulate,false,0
this is the california model spreading across the country when you need to flip things blue theres always some mysterious mailin ballots lying around thatll do the trick shameful,false,0
says president barack obama is responsible for pending defense cuts,half-true,1
